number,short_description,description,category,subcategory,priority,urgency,impact,state,assignment_group,opened_at,resolved_at,close_notes
INC0010134,CICS region abended (ASRA) - bad LOADLIB member from mis-targeted deployment,"Region SSPROD1 abended shortly after a scheduled deployment window. Traced to a one-off deployment error where a load module intended for a different LPAR's test region was mistakenly promoted into the production LOADLIB concatenation.

--- Technical signal ---
Application: CICS-GENAPP
Transaction: n/a
Program: n/a
Abend code: ASRA
Suggested assignment group: CICS Systems Programming",software,Deployment,1,3,1,Resolved,CICS Systems Programming,2026-05-10 09:39:50,2026-05-11 01:29:49,Removed the mis-targeted load module and restarted the region with the correct build. One-time deployment targeting error; deployment pipeline updated to validate target LPAR/environment before promoting load modules.
INC0010132,Endowment inquiry showing incorrect DOB format after copybook patch,"SSP2 Cust Inquiry briefly displayed dates of birth in the wrong format (MM-DD-YYYY instead of YYYY-MM-DD) for a subset of users. Traced to a one-off manual patch applied to a regional date-format setting in LGCMAREA that was not intended for this environment.

--- Technical signal ---
Application: CICS-GENAPP
Transaction: SSP2
Program: LGICUS01
Suggested assignment group: Mainframe Application Support",software,Online Transaction,3,2,2,Resolved,Mainframe Application Support,2026-05-13 05:47:53,2026-05-13 13:23:08,Reverted the regional date-format patch back to the correct setting for this environment. One-time configuration error during environment refresh; refresh checklist updated to explicitly verify locale/date-format settings.
INC0010119,GENACNTL TSQ ENQ contention during high-volume customer add batch,"A one-time bulk customer-load batch job ran concurrently with heavy online SSC1 Add Customer traffic, causing ENQ waits on the GENACNTL TSQ maintained by LGTESTC1. Several online add-customer transactions experienced elevated response time (8-12s) during the overlap window.

--- Technical signal ---
Application: CICS-GENAPP
Transaction: SSC1
Program: LGTESTC1
Job: GENABULK
Suggested assignment group: CICS Systems Programming",performance,Online Transaction,3,2,3,Resolved,CICS Systems Programming,2026-05-13 23:09:05,2026-05-14 04:41:52,Confirmed root cause as ENQ serialization on GENACNTL during the one-off bulk load. Bulk job was not scheduled during business hours previously; scheduling note added so this does not recur. No code change needed.
INC0010122,CICS region short-on-storage abend during month-end batch add-policy spike,"Region SSPROD1 hit short-on-storage (SOS) during the month-end policy-renewal batch window, causing several SSP1-SSP4 transactions to abend or queue. One-time volume-driven event; region recovered automatically once the batch completed.

--- Technical signal ---
Application: CICS-GENAPP
Transaction: SSP1-SSP4
Program: n/a
Job: GENARENEW
Abend code: ASRA/AKCT
Suggested assignment group: CICS Systems Programming",performance,Online Transaction,2,3,3,Resolved,CICS Systems Programming,2026-05-17 10:01:16,2026-05-18 00:01:31,"Confirmed as a capacity event tied to month-end renewal volume, not a code defect. DSA limits temporarily raised for the remainder of the batch window; capacity planning made aware for next month-end sizing."
INC0010138,Intermittent 'resource unavailable' errors during one-off concurrent load test,"Several SSx transactions briefly failed with Db2 resource-unavailable errors during a scheduled concurrent load test. Traced to the test briefly exceeding the Db2 subsystem's CTHREAD (concurrent thread) limit, which was sized for normal production concurrency, not the test's simulated peak.

--- Technical signal ---
Application: CICS-GENAPP
Transaction: SSC1/SSP1-4
Program: n/a
SQLCODE: -904
Suggested assignment group: Db2 DBA",performance,Database,3,2,3,Resolved,Db2 DBA,2026-05-20 12:22:36,2026-05-21 04:23:18,Confirmed as a one-time test-only event; CTHREAD was temporarily raised for the remainder of the test window and reverted afterward. Production CTHREAD sizing confirmed adequate for real traffic; no permanent change needed.
INC0010133,Customer update transaction hanging - missing index after schema migration,"SSC1 Cust Update transactions began running very slowly (10-15s) for all users. Traced to a one-off schema migration the previous weekend that dropped and recreated the CUSTOMER table's secondary index, but the post-migration step to rebuild statistics (RUNSTATS) was missed, leading Db2 to pick a poor access path.

--- Technical signal ---
Application: CICS-GENAPP
Transaction: SSC1
Program: LGUCDB01
Suggested assignment group: Db2 DBA",performance,Database,2,3,3,Resolved,Db2 DBA,2026-05-25 08:33:30,2026-05-25 11:23:25,"Ran RUNSTATS on the CUSTOMER table and rebound the affected packages; response times returned to normal. One-time post-migration step miss; migration runbook updated to make RUNSTATS a mandatory, checked-off step."
INC0010125,Motor policy add failing - Db2 package not rebound after DBRM regeneration,"SSP1 Add Policy failing with SQLCODE -805 (package not found) on LGAPDB01. Traced to a one-off deployment gap where the DBRM was regenerated during the last release but the corresponding Db2 package bind step was missed.

--- Technical signal ---
Application: CICS-GENAPP
Transaction: SSP1
Program: LGAPDB01
SQLCODE: -805
Return code: 90
Suggested assignment group: Db2 DBA",software,Database,1,2,2,Resolved,Db2 DBA,2026-05-30 04:37:39,2026-05-30 16:52:17,Ran the missing BIND PACKAGE step manually for LGAPDB01. One-time deployment gap; release checklist updated to include an explicit bind-verification step so this doesn't recur on future releases.
INC0010130,VSAM extend failure on KSDSPOLY during batch load - DASD volume full,"Nightly policy batch load job abended when LGAPVS01 could not extend KSDSPOLY. Traced to a one-off DASD volume reaching 100% utilization overnight after an unrelated application's one-time large dataset allocation consumed the remaining free space on the shared volume.

--- Technical signal ---
Application: CICS-GENAPP
Transaction: n/a
Program: LGAPVS01
Job: GENAPBAT
Return code: 80
Suggested assignment group: z/OS Batch Ops",software,VSAM,1,3,2,Resolved,z/OS Batch Ops,2026-05-30 23:03:30,2026-05-31 06:10:00,Freed space on the shared DASD volume and re-ran the batch load successfully. One-time capacity collision with an unrelated application; storage team added a threshold alert on that volume group to catch this earlier next time.
INC0010136,Commercial policy add - MQ trigger to billing system failed during MQ maintenance,"A commercial policy was added successfully in GENAPP but the downstream billing system was never notified. Traced to a one-off MQ channel restart during a scheduled MQ maintenance window that silently dropped the trigger message before the billing listener could process it.

--- Technical signal ---
Application: CICS-GENAPP
Transaction: SSP4
Program: n/a
Suggested assignment group: Mainframe Application Support",integration,Messaging,2,2,3,Resolved,Mainframe Application Support,2026-06-01 13:26:49,2026-06-01 22:38:27,Manually replayed the missed billing notification for the affected policy. One-time MQ maintenance-window collision; MQ team confirmed the maintenance record and agreed to notify application owners of channel restarts going forward.
INC0010131,Motor policy add abending - EBCDIC/ASCII encoding mismatch from feed tool,"SSP1 Add Policy abending on a batch-fed record. Traced to a one-off incident where a Windows-based file-transfer tool was used to move a policy feed file in binary/ASCII mode instead of EBCDIC text mode, corrupting the packed-decimal fields LGAPDB01 expected.

--- Technical signal ---
Application: CICS-GENAPP
Transaction: SSP1
Program: LGAPDB01
Job: GENAMFED
Abend code: S0C7
Suggested assignment group: Mainframe Application Support",software,Batch,2,2,2,Resolved,Mainframe Application Support,2026-06-05 23:10:19,2026-06-06 02:51:10,Re-transferred the feed file in the correct EBCDIC text transfer mode and re-ran the load; records processed cleanly. One-time operator error using an unfamiliar transfer tool; documented the correct transfer settings for future use of that tool.
