number,short_description,description,category,subcategory,priority,urgency,impact,state,assignment_group,opened_at,resolved_at,close_notes
INC0010042,SSC1 Add Customer abending intermittently,"User selected option 2 (Cust Add) on SSC1. Transaction abended with code LGV0 during the VSAM mirror write in LGACVS01 (KSDSCUST). Db2 insert into CUSTOMER completed but VSAM write failed, leaving Db2/VSAM out of sync for this customer.

--- Technical signal ---
Application: CICS-GENAPP
Transaction: SSC1
Program: LGACVS01
Abend code: LGV0
Return code: 80
Recurring pattern: PTN-001 (occurrence 1)
Suggested assignment group: CICS Systems Programming",software,VSAM,2,2,2,Resolved,CICS Systems Programming,2026-05-18 07:47:40,2026-05-18 16:46:13,"Region SSPROD1 recycled, transaction resumed. Monitor for recurrence."
INC0010043,Customer add failing again on SSC1,"User selected option 2 (Cust Add) on SSC1. Transaction abended with code LGV0 during the VSAM mirror write in LGACVS01 (KSDSCUST). Db2 insert into CUSTOMER completed but VSAM write failed, leaving Db2/VSAM out of sync for this customer.

Duplicate/related incidents in this recurring thread: INC0010042 (1 prior occurrence of the same root cause).

--- Technical signal ---
Application: CICS-GENAPP
Transaction: SSC1
Program: LGACVS01
Abend code: LGV0
Return code: 80
Recurring pattern: PTN-001 (occurrence 2)
Related/duplicate incidents: INC0010042
Suggested assignment group: CICS Systems Programming",software,VSAM,2,2,2,In Progress,CICS Systems Programming,2026-05-24 15:05:56,,
INC0010044,LGV0 abend recurring on customer add,"User selected option 2 (Cust Add) on SSC1. Transaction abended with code LGV0 during the VSAM mirror write in LGACVS01 (KSDSCUST). Db2 insert into CUSTOMER completed but VSAM write failed, leaving Db2/VSAM out of sync for this customer.

Duplicate/related incidents in this recurring thread: INC0010042, INC0010043 (2 prior occurrences of the same root cause).

--- Technical signal ---
Application: CICS-GENAPP
Transaction: SSC1
Program: LGACVS01
Abend code: LGV0
Return code: 80
Recurring pattern: PTN-001 (occurrence 3)
Related/duplicate incidents: INC0010042, INC0010043
Suggested assignment group: CICS Systems Programming",software,VSAM,2,2,2,Resolved,CICS Systems Programming,2026-05-30 15:38:03,2026-05-30 17:24:13,Recurred again post-bounce within 48 hrs. Escalating to storage team for KSDSCUST extend.
INC0010045,Add Customer transaction abending - repeat of last week,"User selected option 2 (Cust Add) on SSC1. Transaction abended with code LGV0 during the VSAM mirror write in LGACVS01 (KSDSCUST). Db2 insert into CUSTOMER completed but VSAM write failed, leaving Db2/VSAM out of sync for this customer.

Duplicate/related incidents in this recurring thread: INC0010042, INC0010043, INC0010044 (3 prior occurrences of the same root cause).

--- Technical signal ---
Application: CICS-GENAPP
Transaction: SSC1
Program: LGACVS01
Abend code: LGV0
Return code: 80
Recurring pattern: PTN-001 (occurrence 4)
Related/duplicate incidents: INC0010042, INC0010043, INC0010044
Suggested assignment group: CICS Systems Programming",software,VSAM,2,2,2,In Progress,CICS Systems Programming,2026-06-05 16:17:33,,
INC0010046,SSC1 customer add still failing after region bounce,"User selected option 2 (Cust Add) on SSC1. Transaction abended with code LGV0 during the VSAM mirror write in LGACVS01 (KSDSCUST). Db2 insert into CUSTOMER completed but VSAM write failed, leaving Db2/VSAM out of sync for this customer.

Duplicate/related incidents in this recurring thread: INC0010042, INC0010043, INC0010044, INC0010045 (4 prior occurrences of the same root cause).

--- Technical signal ---
Application: CICS-GENAPP
Transaction: SSC1
Program: LGACVS01
Abend code: LGV0
Return code: 80
Recurring pattern: PTN-001 (occurrence 5)
Related/duplicate incidents: INC0010042, INC0010043, INC0010044, INC0010045
Suggested assignment group: CICS Systems Programming",software,VSAM,2,2,2,Resolved,CICS Systems Programming,2026-06-09 12:17:10,2026-06-09 17:47:42,VSAM KSDSCUST is close to CI/CA split threshold. Region bounced as workaround; reorg not yet scheduled.
INC0010047,SSC1 Add Customer abending intermittently,"User selected option 2 (Cust Add) on SSC1. Transaction abended with code LGV0 during the VSAM mirror write in LGACVS01 (KSDSCUST). Db2 insert into CUSTOMER completed but VSAM write failed, leaving Db2/VSAM out of sync for this customer.

Duplicate/related incidents in this recurring thread: INC0010042, INC0010043, INC0010044, INC0010045, INC0010046 (5 prior occurrences of the same root cause).

--- Technical signal ---
Application: CICS-GENAPP
Transaction: SSC1
Program: LGACVS01
Abend code: LGV0
Return code: 80
Recurring pattern: PTN-001 (occurrence 6)
Related/duplicate incidents: INC0010042, INC0010043, INC0010044, INC0010045, INC0010046
Suggested assignment group: CICS Systems Programming",software,VSAM,2,2,2,Resolved,CICS Systems Programming,2026-06-16 13:06:52,2026-06-17 00:31:30,VSAM KSDSCUST is close to CI/CA split threshold. Region bounced as workaround; reorg not yet scheduled.
INC0010048,Customer add failing again on SSC1,"User selected option 2 (Cust Add) on SSC1. Transaction abended with code LGV0 during the VSAM mirror write in LGACVS01 (KSDSCUST). Db2 insert into CUSTOMER completed but VSAM write failed, leaving Db2/VSAM out of sync for this customer.

Duplicate/related incidents in this recurring thread: INC0010042, INC0010043, INC0010044, INC0010045, INC0010046, INC0010047 (6 prior occurrences of the same root cause).

--- Technical signal ---
Application: CICS-GENAPP
Transaction: SSC1
Program: LGACVS01
Abend code: LGV0
Return code: 80
Recurring pattern: PTN-001 (occurrence 7)
Related/duplicate incidents: INC0010042, INC0010043, INC0010044, INC0010045, INC0010046, INC0010047
Suggested assignment group: CICS Systems Programming",software,VSAM,2,2,2,Resolved,CICS Systems Programming,2026-06-19 18:29:55,2026-06-20 11:02:57,Recurred again post-bounce within 48 hrs. Escalating to storage team for KSDSCUST extend.
INC0010049,LGV0 abend recurring on customer add,"User selected option 2 (Cust Add) on SSC1. Transaction abended with code LGV0 during the VSAM mirror write in LGACVS01 (KSDSCUST). Db2 insert into CUSTOMER completed but VSAM write failed, leaving Db2/VSAM out of sync for this customer.

Duplicate/related incidents in this recurring thread: INC0010042, INC0010043, INC0010044, INC0010045, INC0010046, INC0010047, INC0010048 (7 prior occurrences of the same root cause).

--- Technical signal ---
Application: CICS-GENAPP
Transaction: SSC1
Program: LGACVS01
Abend code: LGV0
Return code: 80
Recurring pattern: PTN-001 (occurrence 8)
Related/duplicate incidents: INC0010042, INC0010043, INC0010044, INC0010045, INC0010046, INC0010047, INC0010048
Suggested assignment group: CICS Systems Programming",software,VSAM,2,2,2,Resolved,CICS Systems Programming,2026-06-27 11:53:34,2026-06-28 07:07:24,VSAM KSDSCUST is close to CI/CA split threshold. Region bounced as workaround; reorg not yet scheduled.
INC0010050,Add Customer transaction abending - repeat of last week,"User selected option 2 (Cust Add) on SSC1. Transaction abended with code LGV0 during the VSAM mirror write in LGACVS01 (KSDSCUST). Db2 insert into CUSTOMER completed but VSAM write failed, leaving Db2/VSAM out of sync for this customer.

Duplicate/related incidents in this recurring thread: INC0010042, INC0010043, INC0010044, INC0010045, INC0010046, INC0010047, INC0010048, INC0010049 (8 prior occurrences of the same root cause).

--- Technical signal ---
Application: CICS-GENAPP
Transaction: SSC1
Program: LGACVS01
Abend code: LGV0
Return code: 80
Recurring pattern: PTN-001 (occurrence 9)
Related/duplicate incidents: INC0010042, INC0010043, INC0010044, INC0010045, INC0010046, INC0010047, INC0010048, INC0010049
Suggested assignment group: CICS Systems Programming",software,VSAM,2,2,2,Resolved,CICS Systems Programming,2026-07-01 18:04:07,2026-07-01 20:23:51,VSAM KSDSCUST is close to CI/CA split threshold. Region bounced as workaround; reorg not yet scheduled.
INC0010051,SSC1 customer add still failing after region bounce,"User selected option 2 (Cust Add) on SSC1. Transaction abended with code LGV0 during the VSAM mirror write in LGACVS01 (KSDSCUST). Db2 insert into CUSTOMER completed but VSAM write failed, leaving Db2/VSAM out of sync for this customer.

Duplicate/related incidents in this recurring thread: INC0010042, INC0010043, INC0010044, INC0010045, INC0010046, INC0010047, INC0010048, INC0010049, INC0010050 (9 prior occurrences of the same root cause).

--- Technical signal ---
Application: CICS-GENAPP
Transaction: SSC1
Program: LGACVS01
Abend code: LGV0
Return code: 80
Recurring pattern: PTN-001 (occurrence 10)
Related/duplicate incidents: INC0010042, INC0010043, INC0010044, INC0010045, INC0010046, INC0010047, INC0010048, INC0010049, INC0010050
Suggested assignment group: CICS Systems Programming",software,VSAM,2,2,2,Resolved,CICS Systems Programming,2026-07-05 10:55:24,2026-07-05 14:51:09,VSAM KSDSCUST is close to CI/CA split threshold. Region bounced as workaround; reorg not yet scheduled.
